Ang Mo Kio,174770
Ang Mo Kio Town Centre,5020
Cheng San,29770
Chong Boon,27900
Kebun Bahru,23910
Sembawang Hills,6890
Shangri-La,18510
Tagore,8350
Townsville,23770
Yio Chu Kang,30
Yio Chu Kang East,4080
Yio Chu Kang North,-
Yio Chu Kang West,26550
Bedok,289750
Bayshore,7480
Bedok North,85930
Bedok Reservoir,25400
Bedok South,51190
Frankel,33570
Kaki Bukit,40820
Kembangan,38440
Siglap,6930
Bishan,90700
Bishan East,28820
Marymount,31540
Upper Thomson,30340
Boon Lay,30
Liu Fang,10
Samulun,10
Shipyard,-
Tukang,10
Bukit Batok,139270
Brickworks,-
Bukit Batok Central,26060
Bukit Batok East,14570
Bukit Batok South,13940
Bukit Batok West,15190
Gombak,9820
Guilin,13130
Hillview,18220
Hong Kah North,28340
Bukit Merah,155840
Alexandra Hill,15650
Alexandra North,1000
Bukit Ho Swee,16290
Bukit Merah,1190
City Terminals,40
Depot Road,5200
Everton Park,9010
Henderson Hill,12870
Kampong Tiong Bahru,10460
Maritime Square,2560
Redhill,12210
Singapore General Hospital,10
Telok Blangah Drive,16000
Telok Blangah Rise,13820
Telok Blangah Way,10690
Tiong Bahru,12190
Tiong Bahru Station,16670
Bukit Panjang,139030
Bangkit,23800
Dairy Farm,5390
Fajar,26770
Jelebu,33470
Nature Reserve,3870
Saujana,25530
Senja,20200
Bukit Timah,74470
Anak Bukit,21990
Coronation Road,6170
Farrer Court,4680
Hillcrest,8810
Holland Road,10280
Leedon Park,6260
Swiss Club,5550
Ulu Pandan,10730
Central Water Catchment,10
Central Water Catchment,10
Changi,2530
Changi Airport,-
Changi Point,790
Changi West,1740
Changi Bay,-
Changi Bay,-
Choa Chu Kang,174330
Choa Chu Kang Central,21400
Choa Chu Kang North,34380
Keat Hong,15660
Peng Siang,32130
Teck Whye,27040
Yew Tee,43710
Clementi,91630
Clementi Central,13490
Clementi North,28730
Clementi West,16470
Clementi Woods,16400
Faber,4320
Pandan,10
Sunset Way,6290
Toh Tuck,40
West Coast,5890
Downtown Core,3720
Anson,80
Bayfront Subzone,-
Bugis,2330
Cecil,160
Central Subzone,480
City Hall,60
Clifford Pier,-
Marina Centre,20
Maxwell,-
Phillip,-
Raffles Place,60
Tanjong Pagar,520
Geylang,116960
Aljunied,41710
Geylang East,33380
Kallang Way,40
Kampong Ubi,13210
Macpherson,28630
Hougang,222310
Defu Industrial Park,20
Hougang Central,4830
Hougang East,21940
Hougang West,50120
Kangkar,26080
Kovan,25640
Lorong Ah Soo,34180
Lorong Halus,-
Tai Seng,14700
Trafalgar,44800
Jurong East,84980
International Business Park,10
Jurong Gateway,20
Jurong Port,10
Jurong River,10
Lakeside,1010
Penjuru Crescent,10
Teban Gardens,19080
Toh Guan,16510
Yuhua East,27460
Yuhua West,20870
Jurong West,272660
Boon Lay Place,31100
Chin Bee,-
Hong Kah,56870
Jurong West Central,68200
Kian Teck,50
Safti,-
Taman Jurong,36940
Wenya,8610
Yunnan,70890
Kallang,101210
Bendemeer,33830
Boon Keng,10970
Crawford,9740
Geylang Bahru,12870
Kallang Bahru,30
Kampong Bugis,890
Kampong Java,11260
Lavender,10320
Tanjong Rhu,11310
Lim Chu Kang,90
Lim Chu Kang,90
Mandai,2120
Mandai East,-
Mandai Estate,2120
Mandai West,-
Marina East,-
Marina East,-
Marina South,-
Marina South,-
Marine Parade,48730
East Coast,-
Katong,9620
Marina East (Mp),-
Marine Parade,28910
Mountbatten,10210
Museum,380
Bras Basah,10
Dhoby Ghaut,210
Fort Canning,160
Newton,6920
Cairnhill,3330
Goodwood Park,910
Istana Negara,40
Monk's Hill,980
Newton Circus,230
Orange Grove,1440
North-Eastern Islands,60
North-Eastern Islands,60
Novena,47990
Balestier,32340
Dunearn,3900
Malcolm,2630
Moulmein,8470
Mount Pleasant,650
Orchard,920
Boulevard,400
Somerset,130
Tanglin,390
Outram,22080
China Square,1590
Chinatown,11880
Pearl's Hill,8230
People's Park,390
Pasir Ris,139890
Flora Drive,12950
Loyang East,2190
Loyang West,200
Pasir Ris Central,25730
Pasir Ris Drive,59480
Pasir Ris Park,2980
Pasir Ris Wafer Fab Park,20
Pasir Ris West,36330
Paya Lebar,40
Airport Road,-
Paya Lebar East,10
Paya Lebar North,20
Paya Lebar West,-
Plab,-
Pioneer,100
Benoi Sector,-
Gul Basin,20
Gul Circle,30
Joo Koon,40
Pioneer Sector,-
Punggol,109750
Coney Island,-
Matilda,30440
Northshore,280
Punggol Canal,-
Punggol Field,43300
Punggol Town Centre,7390
Waterway East,28340
Queenstown,98050
Commonwealth,8130
Dover,13200
Ghim Moh,11900
Holland Drive,14230
Kent Ridge,1080
Margaret Drive,10520
Mei Chin,16750
National University Of S'pore,360
One North,620
Pasir Panjang 1,4010
Pasir Panjang 2,3520
Port,140
Queensway,280
Singapore Polytechnic,160
Tanglin Halt,13160
River Valley,9190
Institution Hill,3380
Leonie Hill,2450
One Tree Hill,1840
Oxley,1380
Paterson,150
Rochor,14590
Bencoolen,1460
Farrer Park,3130
Kampong Glam,170
Little India,3850
Mackenzie,110
Mount Emily,1110
Rochor Canal,10
Selegie,270
Sungei Road,2420
Victoria,2060
Seletar,270
Pulau Punggol Barat,-
Pulau Punggol Timor,-
Seletar,260
Seletar Aerospace Park,20
Sembawang,76530
Admiralty,14410
Sembawang Central,29140
Sembawang East,90
Sembawang North,26860
Sembawang Springs,4290
Sembawang Straits,1700
Senoko North,20
Senoko South,20
The Wharves,-
Sengkang,206680
Anchorvale,38040
Compassvale,18510
Fernvale,35590
Lorong Halus North,-
Rivervale,59860
Sengkang Town Centre,54680
Sengkang West,10
Serangoon,120670
Lorong Chuan,8390
Seletar Hills,13580
Serangoon Central,26480
Serangoon Garden,39180
Serangoon North,17490
Serangoon North Ind Estate,20
Upper Paya Lebar,15540
Simpang,-
Pulau Seletar,-
Simpang North,-
Simpang South,-
Tanjong Irau,-
Singapore River,2720
Boat Quay,180
Clarke Quay,130
Robertson Quay,2420
Southern Islands,1480
Sentosa,1470
Southern Group,-
Straits View,-
Straits View,-
Sungei Kadut,850
Gali Batu,130
Kranji,20
Pang Sua,20
Reservoir View,20
Turf Club,660
Tampines,261230
Simei,42710
Tampines East,138500
Tampines North,-
Tampines West,78110
Xilin,1920
Tanglin,19000
Chatsworth,5740
Nassim,8340
Ridout,1400
Tyersall,3520
Tengah,10
Tengah,10
Toa Payoh,124940
Bidadari,10
Boon Teck,15110
Braddell,10760
Joo Seng,6720
Kim Keat,8610
Lorong 8 Toa Payoh,8220
Pei Chun,11780
Potong Pasir,12650
Sennett,4540
Toa Payoh Central,30740
Toa Payoh West,13360
Woodleigh,2440
Tuas,70
Tengeh,-
Tuas Bay,20
Tuas North,20
Tuas Promenade,10
Tuas View,10
Tuas View Extension,-
Western Islands,-
Jurong Island And Bukom,-
Semakau,-
Sudong,-
Western Water Catchment,900
Western Water Catchment,900
Woodlands,250290
Greenwood Park,70
Midview,35510
North Coast,14610
Senoko West,20
Woodgrove,35850
Woodlands East,95510
Woodlands Regional Centre,-
Woodlands South,35840
Woodlands West,32890
Yishun,201970
Khatib,10850
Lower Seletar,2870
Nee Soon,900
Northland,30380
Springleaf,3880
Yishun Central,1490
Yishun East,54880
Yishun South,38840
Yishun West,57890